"","Year","number","weight","AcornMean","AcornMeanW","AcornSD","AcornSDW","masting","mastingW","mastN","mastNW","freq","freqW"
"1",1984,44320,12439.5,44320,12439.5,10354.1645969146,6555.94052177108,"avg","avg",0,0,NA,NA
"2",1985,29677,3168,36998.5,7803.75,10354.1645969146,6555.94052177108,"few","few",0,0,NA,NA
"3",1986,NA,NA,36998.5,7803.75,10354.1645969146,6555.94052177108,"avg","avg",0,0,NA,NA
"4",1987,215396,44675,96464.3333333333,20094.1666666667,103257.737551882,21786.5372095552,"many","many",1,1,NA,NA
"5",1988,NA,NA,96464.3333333333,20094.1666666667,103257.737551882,21786.5372095552,"avg","avg",0,0,NA,NA
"6",1989,4678,4306.25,73517.75,16147.1875,95991.0915462992,19461.5016692946,"few","few",0,0,NA,NA
"7",1990,NA,NA,73517.75,16147.1875,95991.0915462992,19461.5016692946,"avg","avg",0,0,NA,NA
"8",1991,563,566.26,58926.8,13031.002,89303.9548491555,18237.7519384934,"few","few",0,0,NA,NA
"9",1992,19547,15420.1,52363.5,13429.185,81477.7179522107,16341.4740713606,"avg","avg",0,0,NA,NA
"10",1993,18917,32493.01,47585.4285714286,16152.5885714286,75445.2905639955,16566.6824714812,"avg","many",0,1,NA,NA
"11",1994,103481,356101.97,54572.375,58646.26125,72590.5609289675,121164.948963106,"many","many",1,1,NA,NA
"12",1995,1214,1662.1,48643.6666666667,52314.6877777778,70193.0344585558,114920.08594578,"few","avg",0,0,NA,NA
"13",1996,127751,299596.54,56554.4,77042.873,70748.9064386628,133619.065599392,"many","many",1,1,NA,NA
"14",1997,31360,50317.36,54264,74613.2809090909,67546.8151714054,127018.035402455,"avg","avg",0,0,NA,NA
"15",1998,140053,327383.51,61413.0833333333,95677.4666666667,69000.7656142746,141390.562508159,"many","many",1,1,NA,NA
"16",1999,60707,159618,61358.7692307692,100595.969230769,66063.4937088983,136527.806372887,"avg","avg",0,0,NA,NA
"17",2000,124098,281714.8,65840.1428571429,113533.028571429,65649.228453908,139818.285574734,"many","many",1,1,NA,NA
"18",2001,4676,5588,61762.5333333333,106336.693333333,65202.6097394736,137584.859355483,"few","few",0,0,NA,NA
"19",2002,20664,35087.34,59193.875,101883.60875,63824.1572801135,134107.792537115,"few","few",0,0,NA,NA
"20",2003,150969,333556,64592.4117647059,115511.396470588,65683.9344751238,141485.073193801,"many","many",1,1,6,7
"21",2004,117504,267626,68897.3529411765,130522.367058824,66663.1835450997,143390.388168397,"many","many",1,1,7,8
"22",2005,10111,17078.81,67746.4117647059,131340.65,67545.7069963173,142656.006173071,"few","few",0,0,7,8
"23",2006,124724,282228.79,70911.8333333333,139723.324444444,66890.977151367,142893.247317819,"many","many",1,1,8,9
"24",2007,3855,7768,59159.5555555556,137672.935555556,58005.934736149,144592.024871676,"few","few",0,0,7,8
"25",2008,101508,219832,61388.4210526316,141997.096842105,57202.7124738716,141776.6935448,"many","many",1,1,8,9
"26",2009,4072,5755,61356.5263157895,142073.346842105,57236.24851668,141698.895190075,"few","few",0,0,8,9
"27",2010,383950,1136575,77486.2,191798.4295,91142.1701453284,261674.390416056,"many","many",1,1,9,10
"28",2011,NA,NA,81534.7894736842,201863.280526316,91773.3921863939,264837.663006725,"avg","avg",0,0,9,10
"29",2012,82293,191458,84837.2105263158,211128.433157895,90539.5169614897,261004.254087209,"avg","avg",0,0,9,10
"30",2013,72,85,83845.3684210526,209422.748421053,91400.9025801597,262338.988731229,"few","few",0,0,9,9
"31",2014,468,NA,78423.6315789474,201273.902777778,93208.8360214193,267458.776348002,"few","avg",0,0,8,8
"32",2015,NA,NA,82713.0555555556,213015.773529412,93961.6492389454,270865.818023632,"avg","avg",0,0,8,8
"33",2016,5230,10042,75906.3333333333,195983.153529412,94939.8252194825,274164.97236459,"few","few",0,0,7,7
"34",2017,821,1377.21,74209.7222222222,193104.321176471,96049.1037645699,276040.641540343,"few","few",0,0,7,7
"35",2018,319820,742718.6,84196.7777777778,217535.797058824,111414.975227251,305478.38284947,"many","many",1,1,7,7
